"player","goals","shots","assists","keyPasses","yellowCard","redCard","ligue","position","games","position_general"
"Daniel James",6,59,7,36,7,0,"Premier League","AMR",48,"Centrocampista Ofensivo"
"Daniel Jebbison",1,4,0,1,0,0,"Premier League","FW",4,"Delantero"
"Daniel Lafferty",0,0,0,0,0,0,"Premier League","Sub",1,"Suplente"
"Daniel Larsson",0,0,0,1,0,0,"La Liga","Sub",1,"Suplente"
"Daniel Maldini",0,1,0,0,0,0,"Serie A","Sub",7,"Suplente"
"Daniel Molina",0,0,0,0,0,0,"La Liga","Sub",1,"Suplente"
"Daniel N&#039;Lundulu",0,1,0,1,0,0,"Premier League","Sub",13,"Suplente"
"Daniel Ojeda",0,2,0,2,1,0,"La Liga","Sub",5,"Suplente"
"Daniel Opare",0,7,0,8,8,0,"Bundesliga","DR",21,"Defensor Lateral"
"Daniel Pacheco",0,1,0,6,0,0,"La Liga","Sub",11,"Suplente"
"Daniel Parejo",51,300,39,400,61,4,"La Liga","MC",244,"Centrocampista"
"Daniel Pavlovic",0,21,5,59,8,0,"Serie A","DL",42,"Defensor Lateral"
"Daniel Pinillos",0,0,0,2,5,1,"La Liga","DL",12,"Defensor Lateral"
"Daniel Plomer",0,0,0,0,0,0,"La Liga","Sub",1,"Suplente"
"Daniel Podence",4,42,2,26,3,0,"Premier League","AMC",33,"Centrocampista Ofensivo"
"Daniel Schwaab",1,24,1,25,4,1,"Bundesliga","DC",60,"Defensor Central"
"Daniel Sturridge",19,169,5,55,2,0,"Premier League","Sub",79,"Suplente"
"Daniel Torres",0,11,0,11,11,0,"La Liga","MC",41,"Centrocampista"
"Daniel Wass",23,273,33,270,31,1,"La Liga","DR",237,"Defensor Lateral"
"Daniele Baselli",20,188,15,188,39,1,"Serie A","MC",191,"Centrocampista"
"Daniele Bonera",0,9,1,7,12,4,"La Liga","DC",56,"Defensor Central"
"Daniele Capelli",0,4,0,2,11,0,"Serie A","DC",30,"Defensor Central"
"Daniele Conti",1,25,0,13,10,1,"Serie A","MC",18,"Centrocampista"
"Daniele Croce",2,44,3,81,12,0,"Serie A","MC",100,"Centrocampista"
"Daniele De Rossi",9,64,9,90,38,2,"Serie A","MC",121,"Centrocampista"
"Daniele Dessena",5,63,2,27,17,2,"Serie A","MC",98,"Centrocampista"
"Daniele Galloppa",0,8,1,11,5,1,"Serie A","Sub",17,"Suplente"
"Daniele Gastaldello",3,18,3,9,23,3,"Serie A","DC",72,"Defensor Central"
"Daniele Padelli",0,0,0,1,6,0,"Serie A","GK",66,"Portero"
"Daniele Ragatzu",1,9,0,8,1,0,"Serie A","Sub",13,"Suplente"
"Daniele Rugani",10,59,3,10,17,0,"Serie A","DC",134,"Defensor Central"
"Daniele Verde",10,114,6,49,1,0,"Serie A","Sub",86,"Suplente"
"Danijel Milicevic",0,6,3,21,0,0,"Ligue 1","AMC",12,"Centrocampista Ofensivo"
"Danijel Petkovic",0,0,0,0,1,0,"Ligue 1","GK",2,"Portero"
"Danijel Subasic",0,0,0,3,12,0,"Ligue 1","GK",157,"Portero"
"Danilo",18,231,15,159,83,6,"Serie A","DC",431,"Defensor Central"
"Danilo Avelar",5,47,5,69,14,1,"Serie A","DL",61,"Defensor Lateral"
"Danilo Cataldi",6,123,12,136,37,3,"Serie A","Sub",141,"Suplente"
"Danilo D&#039;Ambrosio",16,96,13,116,35,1,"Serie A","DR",180,"Defensor Lateral"
"Danilo Pereira",2,17,1,5,3,0,"Ligue 1","Sub",23,"Suplente"
"Danilo Soares",0,1,0,0,0,0,"Bundesliga","DL",1,"Defensor Lateral"
"Danilo Soddimo",1,50,3,52,11,1,"Serie A","Sub",38,"Suplente"
"Danny Blum",2,25,1,6,0,0,"Bundesliga","Sub",17,"Suplente"
"Danny Graham",1,14,0,6,0,0,"Premier League","Sub",24,"Suplente"
"Danny Ings",55,321,13,128,12,0,"Premier League","FW",140,"Delantero"
"Danny Latza",6,174,10,146,40,0,"Bundesliga","MC",153,"Centrocampista"
"Danny Rose",6,97,13,127,38,0,"Premier League","DL",129,"Defensor Lateral"
"Danny Simpson",0,14,2,28,23,1,"Premier League","DR",114,"Defensor Lateral"
"Danny Ward",1,11,0,7,0,0,"Premier League","Sub",16,"Suplente"
"Danny Welbeck",24,190,11,85,5,0,"Premier League","Sub",132,"Suplente"
"Danny Williams",0,13,0,5,3,0,"Premier League","Sub",25,"Suplente"
"Danny da Costa",4,59,16,97,8,0,"Bundesliga","MR",115,"Centrocampista"
"Dante",6,92,5,36,43,3,"Ligue 1","DC",183,"Defensor Central"
"Dany Nounkeu",1,4,0,3,4,0,"Ligue 1","DC",14,"Defensor Central"
"Daouda Peeters",0,0,0,0,0,0,"Serie A","Sub",1,"Suplente"
"Dara O&#039;Shea",0,3,0,5,3,0,"Premier League","DC",28,"Defensor Central"
"Darijo Srna",0,10,3,43,6,1,"Serie A","DR",26,"Defensor Lateral"
"Dario Cvitanich",3,11,0,5,0,0,"Ligue 1","FW",9,"Delantero"
"Dario Dainelli",1,14,0,18,25,0,"Serie A","DC",95,"Defensor Central"
"Dario Kresic",0,0,0,0,0,0,"Bundesliga","GK",1,"Portero"
"Dario Maresic",0,0,0,1,0,0,"Ligue 1","DC",9,"Defensor Central"
"Dario Zuparic",0,2,0,1,1,0,"Serie A","Sub",7,"Suplente"
"Darko Brasanac",5,64,3,70,27,0,"La Liga","MC",119,"Centrocampista"
"Darko Churlinov",0,2,1,4,0,0,"Bundesliga","Sub",15,"Suplente"
"Darko Lazovic",11,160,25,205,14,1,"Serie A","DML",172,"Centrocampista Defensivo"
"Darnell Furlong",1,27,3,17,6,0,"Premier League","DR",38,"Defensor Lateral"
"Darren Bent",0,1,0,1,0,0,"Premier League","Sub",7,"Suplente"
"Darren Fletcher",5,63,7,90,6,0,"Premier League","MC",129,"Centrocampista"
"Darren Randolph",0,1,0,0,1,0,"Premier League","GK",33,"Portero"
"Darron Gibson",0,18,1,8,7,0,"Premier League","Sub",28,"Suplente"
"Darwin Machís",12,175,15,87,10,0,"La Liga","Sub",111,"Suplente"
"Daryl Janmaat",8,119,14,99,20,2,"Premier League","DR",145,"Defensor Lateral"
"Darío Benedetto",16,100,3,32,5,2,"Ligue 1","FW",58,"Delantero"
"Darío Lezcano",8,88,4,47,8,0,"Bundesliga","FW",50,"Delantero"
"Darío Poveda",0,1,0,1,0,0,"La Liga","Sub",3,"Suplente"
"David Abraham",4,65,4,33,26,3,"Bundesliga","DC",153,"Defensor Central"
"David Alaba",14,198,14,175,12,0,"Bundesliga","DL",195,"Defensor Lateral"
"David Alba",0,0,0,0,0,0,"La Liga","DC",1,"Defensor Central"
"David Alcibiade",0,2,1,2,0,0,"Ligue 1","DR",3,"Defensor Lateral"
"David Barral",11,102,1,20,14,1,"La Liga","FW",57,"Delantero"
"David Brooks",8,47,5,36,4,0,"Premier League","MR",39,"Centrocampista"
"David Button",0,0,0,0,0,0,"Premier League","GK",5,"Portero"
"David Carmona",0,1,0,0,0,0,"La Liga","DR",1,"Defensor Lateral"
"David Cobeño",0,0,0,0,1,0,"La Liga","GK",3,"Portero"
"David Concha",0,2,0,1,0,0,"La Liga","Sub",8,"Suplente"
"David Costas",0,3,1,1,7,0,"La Liga","DC",23,"Defensor Central"
"David Djigla",0,0,0,0,0,0,"Ligue 1","Sub",1,"Suplente"
"David Ducourtioux",0,32,3,38,12,0,"Ligue 1","MC",33,"Centrocampista"
"David Ferreiro",3,62,7,123,10,0,"La Liga","Sub",72,"Suplente"
"David García",6,65,2,28,33,0,"La Liga","DC",144,"Defensor Central"
"David Gil",0,0,0,0,0,0,"La Liga","GK",4,"Portero"
"David Goldar",0,1,0,0,1,0,"La Liga","DC",1,"Defensor Central"
"David Hancko",0,2,0,3,0,0,"Serie A","Sub",5,"Suplente"
"David Ivan",1,5,0,11,4,1,"Serie A","Sub",21,"Suplente"
"David Jones",0,21,0,25,1,0,"Premier League","MC",37,"Centrocampista"
"David Juncà",0,22,11,57,19,0,"La Liga","DL",79,"Defensor Lateral"
"David Kinsombi",0,0,0,1,1,0,"Bundesliga","Sub",4,"Suplente"
"David Luiz",11,160,5,49,29,4,"Premier League","DC",188,"Defensor Central"
"David López",10,100,7,71,23,1,"La Liga","DC",184,"Defensor Central"
"David Marshall",0,0,0,0,0,0,"Premier League","GK",16,"Portero"
"David Martin",0,0,0,0,1,0,"Premier League","GK",5,"Portero"
"David McGoldrick",10,116,3,34,9,0,"Premier League","FW",63,"Delantero"
"David Meyler",2,22,1,20,9,1,"Premier League","MC",48,"Centrocampista"
"David Navarro",0,21,0,3,9,2,"La Liga","DC",41,"Defensor Central"
